<<<<<<< HEAD
=======
CorrectionAssignMapTitle#0,"""조작 설정 복원"""
Config_012_Name#0,"""간이 개더링 정보"""
Config_012_Hint#0,"""메인 메뉴에서 간이 개더링의 표시를 설정합니다."""
Config_013_Name#0,"""캐릭터 메뉴 표시 형식"""
Config_013_Choices_0#0,"""카테고리 형식"""
Config_013_Choices_1#0,"""리스트 형식"""
Config_013_Hint#0,"""주위의 캐릭터를 선택했을 때 표시되는<br>캐릭터 메뉴의 표시 형식을 설정합니다."""
Config_014_Name#0,"""퀘스트 카운터 표시 형식"""
Config_014_Hint#0,"""퀘스트 카운터의 표시 형식을 설정합니다."""
=======
Config_010_Name#0,"""復帰プレイヤーアイコン"""
Config_010_Hint#0,"""復帰プレイヤーアイコンを<br>表示するかしないかを設定します。<br>※アイコンを表示しなくても<br>\u3000\u3000各ボーナスは受けられます。"""
Config_011_Name#0,"""倉庫の初期カーソル位置"""
Config_011_Choices_0#0,"""すべての倉庫"""
Config_011_Choices_1#0,"""基本倉庫"""
Config_011_Choices_2#0,"""キャラ倉庫"""
Config_011_Choices_3#0,"""プレミアム倉庫"""
Config_011_Choices_4#0,"""ＯＴＰ倉庫"""
Config_011_Choices_5#0,"""PSO2es倉庫"""
Config_011_Hint#0,"""倉庫端末やマイショップ出品時<br>NPCショップでのアイテム売買において<br>倉庫UIが表示された時の<br>初期カーソル位置を設定します。"""
Config_012_Name#0,"""簡易ギャザリング情報"""
Config_012_Hint#0,"""メインメニューを表示する時に<br>簡易ギャザリング情報を<br>表示するかしないか設定をします。"""
Config_013_Name#0,"""캐릭터 메뉴 표시 형식"""
Config_013_Choices_0#0,"""카테고리"""
Config_013_Choices_1#0,"""목록"""
Config_013_Hint#0,"""주위의 캐릭터를 선택했을 때 등 표시하는<br>캐릭터 메뉴의 형식을 설정합니다."""
Config_014_Name#0,"""クエストカウンターの表示形式"""
Config_014_Hint#0,"""クエストカウンターの表示形式を設定します。"""
>>>>>>> upstream/KO_Reboot
Config_015_Name#0,"""파티정보 입력메뉴 표시형식"""
Config_015_Choices_0#0,"""상세"""
Config_015_Choices_1#0,"""보통"""
Config_015_Hint#0,"""퀘스트를 수주했을 때 파티 정보 입력 메뉴의<br>표시 형식을 설정합니다."""
Config_016_Name#0,"""파티 설정 저장"""
Config_016_Choices_0#0,"""저장한다"""
Config_016_Choices_1#0,"""저장하지 않는다"""
Config_016_Hint#0,"""파티 설정을 저장해서 블록 이동이나<br>로그아웃을 해도 유지할지 설정합니다.<br>※게임을 종료하기 전까지 유효합니다."""
<<<<<<< HEAD
Config_017_Name#0,"""자동 파티명 설정"""
=======
Config_017_Name#0,"""퀘스트 수주 시 파티명"""
>>>>>>> upstream/KO_Reboot
Config_017_Choices_0#0,"""퀘스트 이름"""
Config_017_Choices_1#0,"""캐릭터 이름"""
Config_017_Hint#0,"""파티명을 입력하지 않고 퀘스트를 수주할 시<br>자동적으로 입력되는 파티명을 선택합니다.<br><br>【퀘스트 이름】<br>난이도의 약칭과 퀘스트 이름으로 설정합니다.<br><br>【캐릭터 이름】<br>수주한 캐릭터의 이름으로 설정합니다."""
Config_018_Name#0,"""퀘스트 수주 시 초기 커서 위치"""
Config_018_Choices_0#0,"""다수 블록 검색"""
Config_018_Choices_1#0,"""현재 블록으로 수주"""
Config_018_Hint#0,"""다수 블록 매칭이 가능한 퀘스트를 수주할 시<br>커서 위치를 어느 쪽으로 할지 설정합니다.<br>※일부 퀘스트는 제외됩니다."""
Config_019_Name#0,"""메세타 자동 획득"""
<<<<<<< HEAD
Config_019_Choices_0#0,"""사용하지 않는다"""
Config_019_Choices_1#0,"""사용한다"""
Config_019_Hint#0,"""메세타를 자동으로 획득하는 기능을 설정합니다."""
Config_020_Name#0,"""무기 즉시 획득"""
Config_020_Choices_0#0,"""사용하지 않는다"""
Config_020_Choices_1#0,"""★13 이상 획득"""
Config_020_Hint#0,"""레어리티가 높은 무기가 드랍됐을 때<br>필드에 드랍시키지 않고 아이템 팩에<br>즉시 획득할지 설정합니다."""
Config_021_Name#0,"""유닛 즉시 획득"""
Config_021_Choices_0#0,"""사용하지 않는다"""
Config_021_Choices_1#0,"""★12 이상 획득"""
Config_021_Hint#0,"""레어리티가 높은 유닛이 드랍됐을 때<br>필드에 드랍시키지 않고 아이템 팩에<br>즉시 획득할지 설정합니다."""
Config_022_Name#0,"""오더 아이템/소재 즉시 획득"""
Config_022_Hint#0,"""소재 카테고리 아이템이 드랍됐을 때<br>필드에 드랍시키지 않고 아이템 팩에<br>즉시 획득할지 설정합니다."""
Config_023_Name#0,"""기타 아이템 즉시 획득"""
Config_023_Hint#0,"""장비, 소재 이외의 아이템을 대상으로<br>높은 레어도의 아이템이 드랍됐을 때<br>필드에 드랍시키지 않고 아이템 팩에<br>즉시 획득할지 설정합니다."""
Config_024_Name#0,"""레어 아이템 드랍연출 표시"""
Config_024_Choices_0#0,"""★7이상"""
Config_024_Choices_1#0,"""★10이상"""
Config_024_Choices_2#0,"""★13이상"""
Config_024_Hint#0,"""레어 아이템이 드랍했을 때 표시되는 연출을 <br>어느 레어리티 이상부터 표시할지 설정합니다."""
Config_025_Name#0,"""이벤트 주목 기능"""
Config_025_Hint#0,"""이벤트 발생 시 액세스 버튼을 홀드 해서<br>이벤트 주목 기능을 사용할지 설정합니다."""
Config_026_Name#0,"""대형 모니터 동영상 재생"""
Config_026_Choices_0#0,"""재생한다"""
Config_026_Choices_1#0,"""재생하지 않는다"""
Config_026_Hint#0,"""아크스 로비의 설치되어 있는 대형 모니터에서<br>표시되는 동영상 재생의 ON/OFF를 바꿉니다.<br>※이 설정은 재시작 후에 유효합니다."""
Config_027_Name#0,"""비기너 블록 우선 로그인"""
Config_027_Choices_0#0,"""우선한다"""
Config_027_Choices_1#0,"""우선하지 않는다"""
Config_027_Hint#0,"""LV.20 이하의 캐릭터로 로그인했을 시<br>비기너 블록을 우선할지 설정합니다."""
Config_028_Name#0,"""포톤 블래스트 표시 수"""
Config_028_Choices_0_VITA#0,"""全員分を表示"""
Config_028_Choices_1_VITA#0,"""自分の分だけを表示"""
Config_028_Hint_VITA#0,"""他プレイヤーのフォトンブラストを<br>表示するか設定します。"""
Config_029_Name#0,"""마우스에 의한 카메라 조작"""
Config_029_Choices_0#0,"""카메라 조작을 우선"""
Config_029_Choices_1#0,"""커서 조작을 우선"""
Config_029_Hint#0,"""마우스를 조작했을 때 카메라 조작을 우선할지<br>마우스 커서 조작을 우선할지를 설정합니다."""
Config_030_Name#0,"""카메라 좌우 회전 방향"""
Config_030_Choices_0#0,"""표준"""
Config_030_Choices_1#0,"""반전"""
Config_030_Hint#0,"""카메라의 좌우 회전 방향을 설정합니다."""
Config_031_Name#0,"""카메라 상하 회전 방향"""
Config_031_Hint#0,"""카메라의 상하 회전 방향을 설정합니다."""
Config_032_Hint#0,"""카메라의 좌우 회전의 속도를 설정합니다."""
Config_033_Hint#0,"""카메라의 상하 회전의 속도를 설정합니다."""
Config_034_Name#0,"""마우스에 의한 카메라 조작"""
Config_035_Name#0,"""카메라 좌우 회전 방향"""
Config_036_Name#0,"""카메라 상하 회전 방향"""
Config_039_Name#0,"""플레이어 캐릭터"""
Config_039_Choices_0#0,"""크게 (표준)"""
Config_039_Choices_1#0,"""중간"""
Config_039_Choices_2#0,"""작게"""
Config_039_Choices_3#0,"""표시하지 않는다"""
Config_039_Hint#0,"""플레이어가 데미지를 주었을 때<br>표시되는 연출의 사이즈를 설정합니다."""
Config_040_Name#0,"""파티 멤버"""
Config_041_Name#0,"""다른 캐릭터"""
Config_042_Name#0,"""플레이어 캐릭터"""
Config_042_Hint#0,"""회복 효과나 데미지를 받았을 때<br>표시되는 연출의 사이즈를 설정합니다."""
Config_043_Name#0,"""파티 멤버"""
Config_044_Name#0,"""다른 캐릭터"""
Config_045_Name#0,"""EXP/기타"""
Config_045_Hint#0,"""EXP를 획득했을 때 표시되는 사이즈를 설정합니다."""
Config_046_Name#0,"""아이템 획득"""
Config_046_Choices_0#0,"""캐릭터 옆에 표시"""
Config_046_Choices_1#0,"""아이템 위치에 표시"""
Config_046_Choices_2#0,"""표시하지 않는다"""
Config_046_Hint#0,"""아이템을 획득했을 때 표시되는 위치를 설정합니다."""
Config_047_Name#0,"""파티 초대"""
Config_047_Hint#0,"""타인에게서 파티 초대를 받았을 때<br>참여 선택 창을 띄울지 설정합니다."""
Config_048_Name#0,"""프렌드 등록 신청"""
Config_048_Hint#0,"""타인에게서 프렌드 신청을 받았을 때<br>수락 선택 창을 띄울지 설정합니다."""
Config_049_Name#0,"""팀 초대"""
Config_049_Hint#0,"""타인에게서 팀으로 초대를 받았을 때<br>참여 선택 창을 띄울지 설정합니다."""
Config_050_Name#0,"""그룹 채팅 초대"""
Config_050_Hint#0,"""타인에게서 그룹 채팅에 초대되었을 때<br>참여 선택 창을 띄울지 설정합니다."""
Config_051_Name#0,"""트레이드 신청"""
Config_051_Hint#0,"""타인에게서 트레이드 신청을 받았을 때<br>응답 선택 창을 띄울지 설정합니다."""
Config_052_Name#0,"""추천 오더 알림"""
Config_052_Hint#0,"""추천 퀘스트를 수주했을 때<br>추천 오더의 창을 표시할지 설정합니다."""
Config_053_Name#0,"""다수 블록 매칭 수주 확인"""
Config_053_Hint#0,"""파티 리더가 다수 블록 매칭으로 수주했을 때<br>확인 창을 자동으로 띄울 것인지 설정합니다."""
Config_054_Name#0,"""<%GamePad>의 할당 알림"""
Config_054_Hint#0,"""<%GamePad>의 설정에서 중요한 조작 할당에<br>문제가 있으면 키를 자동적으로 복원하는<br>기능의 알림을 할지 설정합니다."""
Config_055_Name#0,"""알림 메시지 표시 건수"""
Config_055_Choices_0#0,"""1건"""
Config_055_Choices_1#0,"""3건"""
Config_055_Hint#0,"""알림 메시지를 최대 몇 건까지 표시할지 설정합니다."""
Config_056_Name#0,"""획득 아이템명을 로그에 표시"""
Config_056_Hint#0,"""아이템을 획득했을 때 로그에 표시할지 설정합니다. """
Config_057_Name#0,"""파티 내 레어 아이템 획득 알림"""
Config_057_Hint#0,"""파티 멤버가 레어 아이템을 획득했을 때<br>알림을 표시하는 기능을 설정합니다."""
Config_058_Name#0,"""프리미엄 유효기간 만료 알림"""
Config_058_Hint#0,"""프리미엄의 유효기간이 7일 남았을 때<br>로그인 시에 알림을 할지 설정합니다."""
Config_059_Name#0,"""로그인 콜 전송 설정"""
Config_059_Choices_0#0,"""보낸다"""
Config_059_Choices_1#0,"""보내지 않는다"""
Config_059_Hint#0,"""자신이 로그인했을 때 프렌드에게<br>로그인 콜을 보낼지 설정합니다."""
Config_060_Name#0,"""타인의 전투 불능 알림"""
Config_060_Hint#0,"""파티를 포함해 타인의 전투불능 알림을 설정합니다.<br>프렌드/서포트/프리 파트너는 표시에서 제외됩니다"""
Config_061_Name#0,"""자신의 전투 불능 알림"""
Config_061_Hint#0,"""자신이 전투불능이 되었을 때 주위 플레이어한테<br>아이콘을 표시하는 기능을 사용할지 설정합니다.<br><br>상대방이 표시 설정을 OFF로 하고 있으면<br>이 설정은 상대방에게 표시되지 않습니다."""
Config_062_Name#0,"""다이렉트 채팅"""
Config_062_Hint#0,"""키보드로 캐릭터를 조작하는 기능 대신에<br>채팅을 직접 입력할 수 있도록 설정합니다."""
Config_063_Name#0,"""다이렉트 채팅 전환 키"""
Config_063_Hint#0,"""다이렉트 채팅 사용을 Scroll Lcok 키를 이용해서<br>전환할 수 있는 기능을 사용할지 설정합니다.<br><br>다이렉트 채팅이 올바르게 동작하지 않을 때<br>이 설정을 사용한다로 설정하면은 올바르게<br>동작할 가능성이 있습니다."""
Config_064_Name#0,"""메일 회신 시 인용"""
Config_064_Choices_0#0,"""인용한다"""
Config_064_Choices_1#0,"""인용하지 않는다"""
Config_064_Hint#0,"""메일 회신 시 인용할지 설정합니다."""
Config_065_Name#0,"""심볼아트의 발언 표시"""
Config_065_Hint#0,"""심볼아트의 발언을 표시할지 설정합니다."""
Config_066_Name#0,"""팀 채팅 말풍선 표시"""
Config_066_Choices_0#0,"""모두 표시한다"""
Config_066_Choices_1#0,"""같은 에어리어 발언만"""
Config_066_Choices_2#0,"""표시하지 않음"""
Config_066_Hint#0,"""팀 채팅 말풍선의 표시 조건을 설정합니다."""
Config_067_Name#0,"""그룹 채팅 말풍선 표시"""
Config_067_Hint#0,"""그룹 채팅 말풍선의 표시 조건을 설정합니다."""
Config_068_Name#0,"""그룹, 팀, 귓속말의 발언자 이름"""
Config_068_Choices_0#0,"""플레이어 ID 네임"""
Config_068_Choices_1#0,"""캐릭터 이름"""
Config_068_Hint#0,"""그룹과 팀 그리고 귓속말 채팅의 발언자 이름을<br>플레이어 ID 네임과 캐릭터 이름 중 어느 쪽으로<br>표시하는 기능을 설정합니다."""
Config_069_Name#0,"""채팅 입력란의 배경색"""
Config_069_Choices_0#0,"""기본 색상"""
Config_069_Choices_1#0,"""발언 대상에 따라 변경"""
Config_069_Hint#0,"""채팅 입력의 배경색을 발언대상에 따라<br>변화하는 기능을 사용할지 설정합니다."""
Config_070_Name#0,"""그룹 채팅 초대 거부"""
Config_070_Choices_0#0,"""초대를 받는다"""
Config_070_Choices_1#0,"""초대를 받지 않는다"""
Config_070_Hint#0,"""그룹 채팅의 초대를 받을지 설정합니다.<br>초대를 받지 않는다로 설정한 경우에는<br>초대가 도착하지 않게 됩니다."""
Config_071_Name#0,"""오토 워드 사용설정"""
Config_071_Hint#0,"""이 설정을 사용하지 않는다로 선택하고 있으면<br>오토 워드를 입력해도 발언을 하지 않습니다."""
Config_072_Name#0,"""오토 워드를 로그에 표시"""
Config_072_Hint#0,"""오토 워드를 로그에 표시할지 설정합니다."""
Config_073_Name#0,"""로그 윈도우 표시순"""
Config_073_Choices_0_VITA#0,"""최신을 위에서부터 표시한다"""
Config_073_Choices_1_VITA#0,"""최신을 아래에서부터 표시한다"""
Config_073_Hint_VITA#0,"""로그를 표시하는 순서를 설정합니다. """
Config_074_Name#0,"""이벤트"""
Config_074_Hint#0,"""타인의 오토 워드를 화면에 표시할지 설정합니다."""
Config_075_Name#0,"""멤버"""
Config_076_Name#0,"""액션"""
Config_077_Name#0,"""주위"""
Config_077_Hint#0,"""로그 윈도우의 모두 표시 탭에서<br>표시하는 내용을 선택합니다. """
Config_078_Name#0,"""파티"""
Config_079_Name#0,"""팀"""
Config_080_Name#0,"""귓속말"""
Config_081_Name#0,"""시스템"""
Config_082_Name#0,"""캐릭터"""
Config_083_Name#0,"""그룹 채팅"""
Config_084_Name#0,"""스크린샷 저장 방식"""
Config_084_Choices_0#0,"""JPEG"""
Config_084_Choices_1#0,"""PNG"""
Config_084_Choices_2#0,"""BMP"""
Config_084_Hint#0,"""스크린샷을 저장할 때 파일 확장자를 선택합니다."""
Config_085_Name#0,"""스크린샷 촬영시 UI표시"""
Config_085_Choices_0#0,"""전부 표시 """
Config_085_Choices_1#0,"""말풍선만 표시"""
Config_085_Choices_2#0,"""표시 안함"""
Config_085_Hint#0,"""스크린샷 촬영 시 UI를 표시할지 설정합니다.<br>※게임 내 촬영 기능 이용 시에만 유효합니다."""
Config_085_Choices_0_Switch#0,"""윈도우 표시 있음"""
Config_085_Choices_1_Switch#0,"""윈도우 표시 없음"""
Config_085_Hint_Switch#0,"""스크린샷 촬영시에,  <br>UI (윈도우 등의 인터페이스)를<br>표시할지 설정합니다. <br>※게임 내 촬영기능을 이용할 때에만 유효."""
Config_086_Name#0,"""체형 편집 시 자동 동기화 설정"""
Config_086_Choices_0#0,"""자동으로 동기화"""
Config_086_Choices_1#0,"""개별로 편집"""
Config_086_Hint#0,"""인간형과 캐스트형 체형은 자동으로 동기화되지만<br>원하지 않는 경우에는 체형을 개별로 편집한다를<br>선택해 주십시오. (에스테 내에서만 유효합니다)<br><br>캐스트는 코스튬에 따라 인간형 체형이 되며<br>이때에도 개별로 편집할지 선택 가능합니다."""
Config_087_Name#0,"""조작 설정"""
Config_087_Choices_0#0,"""매뉴얼 타입"""
Config_087_Choices_1#0,"""오토 타입"""
Config_087_Hint#0,"""라이드로이드의 조작 설정을 선택합니다.<br> <br>매뉴얼 타입 : 수동으로 전진합니다.<br>오토 타입 : 자동으로 전진합니다.<br><br>※라이드로이드의 조작은 「<yellow>TPS 시점<c>」이 기본입니다."""
Config_088_Name#0,"""통상 시점 : 카메라 좌우 회전 방향"""
Config_088_Hint#0,"""라이드로이드 카메라의<br>좌우 회전 방향을 설정합니다."""
Config_089_Name#0,"""통상 시점 : 카메라 상하 회전 방향"""
Config_089_Hint#0,"""라이드로이드 카메라의<br>상하 회전 방향을 설정합니다."""
Config_090_Name#0,"""통상 시점 : 좌우 선회 방향"""
Config_090_Hint#0,"""라이드로이드 조작의<br>좌우 선회 방향을 설정합니다."""
Config_091_Name#0,"""통상 시점 : 상하 이동 방향"""
Config_091_Hint#0,"""라이드로이드 조작의<br>상하 이동 방향을 설정합니다."""
Config_092_Name#0,"""TPS 시점 : 카메라 좌우 회전 방향"""
Config_093_Name#0,"""TPS 시점 : 카메라 상하 회전 방향"""
Config_094_Name#0,"""TPS 시점 : 좌우 선회 방향"""
Config_095_Name#0,"""TPS 시점 : 상하 이동 방향"""
Config_096_Name#0,"""다크 블래스트 사용 시 전용 보이스"""
Config_096_Hint#0,"""발동 중 전용 보이스를 재생할지 설정합니다."""
Config_097_Name#0,"""타인의 다크 블래스트 표시 타입"""
Config_097_Choices_0#0,"""타인의 설정에 따른다"""
Config_097_Choices_1#0,"""오라 표시"""
Config_097_Choices_2#0,"""캐릭터 표시"""
Config_097_Hint#0,"""다른 플레이어가 다크 블래스트를 사용했을 때<br>표시되는 다크 블래스트 외형을 설정합니다.<br><br>【타인의 설정에 따른다】<br>다른 플레이어의 설정에 따라서 표시합니다.<br><br>【오라 표시】<br>다크 블래스트의 외형을 오라 형태로 합니다.<br>투명도는 다른 플레이어의 설정이 반영됩니다.<br><br>【캐릭터 표시】<br>다크 블래스트 대신에 항상 캐릭터를 표시합니다.<br><br>게임 런처의 환경 설정에서 셰이더 품질을<br>「간이」이외로 설정하는 것으로 적용됩니다."""
Config_097_Hint_PS4#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_097_Hint_Switch#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_097_Hint_PCCloud#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_098_Hint#0,"""BGM의 음량을 설정합니다."""
Config_099_Hint#0,"""SE의 음량을 설정합니다."""
Config_100_Hint#0,"""보이스의 음량을 설정합니다."""
Config_101_Hint#0,"""아크스 로비에 설치된 대형 모니터에서 <br>나오는 동영상의 음량을 설정합니다."""
Config_102_Name#0,"""서라운드 설정"""
Config_102_Choices_0#0,"""ON"""
Config_102_Choices_1#0,"""OFF"""
Config_102_Hint#0,"""서라운드 효과의 ON/OFF를 전환합니다."""
Config_103_Name#0,"""글로벌 포커스 사운드 설정"""
Config_103_Hint#0,"""게임창을 활성화하지 않아도<br>사운드를 재생할지 설정합니다."""
Config_104_Name#0,"""이펙트 광원"""
Config_104_Hint#0,"""이펙트와 관련된 라이팅 효과를 설정합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_105_Name#0,"""지형 광원"""
Config_105_Hint#0,"""지형과 관련된 라이팅 효과를 설정합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_105_Hint_PS4#0,"""地形に関係するライティング効果の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_105_Hint_Switch#0,"""地形に関係するライティング効果の<br>ON/OFFを切り替えます。"""
Config_105_Hint_PCCloud#0,"""地形に関係するライティング効果の<br>ON/OFFを切り替えます。"""
Config_106_Name#0,"""블룸 처리"""
Config_106_Hint#0,"""밝은 부분에 필터를 적용시켜 화면 전체를<br>한층 더 예쁘게 보이게 하는 효과입니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_106_Hint_PS4#0,"""明るい部分にフィルターをかけることにより、<br>画面全体をよりきれいに見せる効果です。<br><br>OFFにすると処理が多少軽くなります。"""
Config_107_Name#0,"""피사계 심도"""
Config_107_Hint#0,"""먼 곳의 스펙터클을 흐리게 해서<br>자연스러운 분위기를 표현합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다<br><br>게임 런처의 환경 설정에서 셰이더 품질을<br>「고품질」로 설정하면 사용할 수 있으며<br>일부 이벤트에만 적용됩니다."""
Config_107_Hint_PS4#0,"""遠くの光景をぼかすことで<br>自然な雰囲気を出すことができます。<br>一部のイベントなどで適用されます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_108_Name#0,"""블러"""
Config_108_Hint#0,"""카메라나 캐릭터의 움직임에 맞추어<br>잔상과 같은 효과를 표현하는 기능입니다.<br><br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_109_Name#0,"""라이트 샤프트"""
Config_109_Hint#0,"""빛이 태양을 중심으로 확산되는 표현을 설정합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_109_Hint_PS4#0,"""光が太陽を中心に拡散する表現の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_110_Name#0,"""안티에일리어싱 """
Config_110_Hint#0,"""곡선이나 대각선을 매끄럽게 묘사하는 기능입니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_111_Name#0,"""소프트 파티클"""
Config_111_Hint#0,"""이펙트의 입자가 지면에 가까워졌을 때<br>얇아지게 하는 효과를 설정합니다.<br>※OFF로 전환하면 처리가 다소 가벼워지며<br>일부 이펙트에 대해서만 적용됩니다."""
Config_111_Hint_PS4#0,"""エフェクトの粒子（パーティクル）が<br>地面に近づいた際に薄くなる効果です。<br>一部エフェクトにのみ適用されます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_112_Name#0,"""일부 이펙트의 빛을 경감"""
Config_112_Choices_0#0,"""보통"""
Config_112_Choices_1#0,"""경감한다"""
Config_112_Hint#0,"""일부 이펙트에 대해서 빛의 강도를 바꿉니다.<br>경감한다를 선택하면 빛의 강도가 약해집니다."""
Config_112_Hint_Switch#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_112_Hint_PCCloud#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_113_Name#0,"""타인의 일부 이펙트를 투과하는 범위"""
Config_113_Choices_0#0,"""근처 이펙트만"""
Config_113_Choices_1#0,"""거리에 관계없이 투과"""
Config_113_Hint#0,"""타인의 일부 이펙트가 투과하는 범위를 설정합니다.<br><br>「거리에 관계없이 투과」 옵션을 선택하면<br>전 범위에서 일부의 이펙트가 투과됩니다. """
Config_114_Name#0,"""앰비언트 오클루전"""
Config_114_Hint#0,"""모서리의 그림자를 짙게 해서 사실성을 높입니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다<br><br>게임 런처의 환경 설정에서 셰이더 품질을<br>「고품질」로 설정하면 사용할 수 있습니다."""
Config_114_Hint_PS4#0,"""エッジの影を濃くして、写実性を高めます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_115_Name#0,"""주변 감광"""
Config_115_Hint#0,"""화면의 바깥쪽 가장자리를 어둡게 조정합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다<br><br>게임 런처의 환경 설정에서 셰이더 품질을<br>「고품질」로 설정하면 사용할 수 있습니다."""
Config_115_Hint_PS4#0,"""画面の外縁部を暗めに調整します。<br><br>OFFにすると処理が多少軽くなります。"""
Config_116_Name#0,"""색조 톤 곡선"""
Config_116_Hint#0,"""전체의 색조, 대비, 밝기를 필드마다 조정합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다<br><br>게임 런처의 환경 설정에서 셰이더 품질을<br>「고품질」로 설정하면 사용할 수 있습니다."""
Config_116_Hint_PS4#0,"""全体の色調やコントラスト、明るさを<br>フィールド毎に調整します。<br><br>OFFにすると処理が多少軽くなります。"""
Config_116_Hint_Switch#0,"""全体の色調やコントラスト、明るさを<br>フィールド毎に調整します。"""
Config_116_Hint_PCCloud#0,"""全体の色調やコントラスト、明るさを<br>フィールド毎に調整します。"""
Config_117_Name#0,"""윤곽 광선"""
Config_117_Hint#0,"""오브젝트의 주위에 관련된 광량을 조정합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다<br><br>게임 런처의 환경 설정에서 셰이더 품질을<br>「고품질」로 설정하면 사용할 수 있습니다."""
Config_117_Hint_PS4#0,"""オブジェクトの周囲にかかる光量を調整します。<br><br>OFFにすると処理が多少軽くなります。"""
Config_117_Hint_Switch#0,"""オブジェクトの周囲にかかる光量を調整します。"""
Config_117_Hint_PCCloud#0,"""オブジェクトの周囲にかかる光量を調整します。"""
Config_118_Name#0,"""해상도 동적 변경 기능"""
Config_118_Hint_PS4#0,"""高負荷になったときに解像度を縮小して<br>高フレームレートを保つ機能です。<br><br>ＯＦＦにすると戦闘中などで<br>低フレームレートになることが予想されます。"""
Config_119_Hint#0,"""상세하게 표현되는 캐릭터의 표시 수를 설정합니다.<br>※수치를 내리면 처리가 다소 가벼워집니다."""
Config_120_Hint#0,"""포톤 블래스트의 표시 수를 설정합니다.<br>※수치를 내리면 처리가 다소 가벼워집니다."""
Config_121_Hint#0,"""수면에서 반사되는 퀄리티를 설정합니다. <br>※수치를 내리면 처리가 다소 가벼워집니다."""
Config_122_Hint#0,"""그림자 묘사의 퀄리티를 설정합니다.<br>※수치를 내리면 처리가 다소 가벼워집니다."""
Config_124_Hint_PS4#0,"""화면의 밝기를 설정합니다.<br>수치를 내리면 화면 전체의 밝기를<br>줄일 수 있습니다."""
Config_123_Hint#0,"""카메라가 향하고 있는 방향의 광량을 조절해<br>화면의 밝기를 조절하는 기능을 설정합니다.<br>※수치를 내리면 처리가 다소 가벼워집니다."""
Config_125_Hint#0,"""마우스 조작 시 카메라 회전 속도를 보정합니다.<br>수치를 내리는 것으로 마우스 조작 시 카메라의<br>회전 속도가 천천히 됩니다."""
Config_127_Name#0,"""타인의 악세사리 숨기기 기능"""
Config_127_Choices_0#0,"""사용하지 않음"""
Config_127_Choices_1#0,"""블랙리스트 대상자"""
Config_127_Choices_2#0,"""모든 캐릭터"""
Config_127_Hint#0,"""타인의 악세사리를 표시할지 설정합니다.<br>「블랙리스트 대상자」나 「모든 캐릭터」를 선택하면<br>대상이 되는 플레이어의 악세사리가 숨겨집니다."""
Config_129_Name#0,"""위시 리스트, 선물 리스트 항목"""
Config_129_Choices_0#0,"""표시하지 않음"""
Config_129_Choices_1#0,"""표시함"""
Config_129_Hint#0,"""아이템 메뉴에서<br>「위시 리스트에 추가」<br>「선물 리스트에 추가」항목을<br>표시할지 설정합니다."""
Config_130_Name#0,"""소재 창고로 자동 이동"""
Config_130_Choices_0#0,"""사용한다"""
Config_130_Choices_1#0,"""사용하지 않는다"""
